id,year,title,event_type,authors
1057,1995,When is an Integrate-and-fire Neuron like a Poisson Neuron?,,"['Anthony M. Zador', 'Charles F. Stevens']"
1058,1995,From Isolation to Cooperation: An Alternative View of a System of Experts,,"['Christopher G. Atkeson', 'Stefan Schaal']"
1059,1995,Boosting Decision Trees,,"['Harris Drucker', 'Corinna Cortes']"
106,1988,Constraints on Adaptive Networks for Modeling Human Generalization,,"['Mark A. Gluck', 'M. Pavel', 'Van Henkle']"
1060,1995,Statistical Theory of Overtraining - Is Cross-Validation Asymptotically Effective?,,"['Noboru Murata', 'Shun-ichi Amari', 'Michael Finke', 'Klaus-Robert M?ller', 'Howard Hua Yang']"
1061,1995,Stable Dynamic Parameter Adaption,,['Stefan M. R?ger']
1062,1995,Universal Approximation and Learning of Trajectories Using Oscillators,,"['Pierre Baldi', 'Kurt Hornik']"
1063,1995,Learning Fine Motion by Markov Mixtures of Experts,,"['Michael I. Jordan', 'Marina Meila']"
1064,1995,Estimating the Bayes Risk from Sample Data,,"['Robert R. Snapp', 'Tong Xu']"
1065,1995,A Unified Learning Scheme: Bayesian-Kullback Ying-Yang Machine,,['Lei Xu']
1066,1995,On Neural Networks with Minimal Weights,,"['Jehoshua Bruck', 'Vasken Bohossian']"
1067,1995,SPERT-II: A Vector Microprocessor System and its Application to Large Problems in Backpropagation Training,,"['Nelson Morgan', 'James Beck', 'John Wawrzynek', 'Krste Asanovic', 'Brian Kingsbury', 'David Johnson']"
1068,1995,A Neural Network Model of 3-D Lightness Perception,,"['Luiz Pessoa', 'William D. Ross']"
1069,1995,How Perception Guides Production in Birdsong Learning,,['Christopher L. Fry']
107,1988,Neural Network Recognizer for Hand-Written Zip Code Digits,,"['John S. Denker', 'Isabelle Guyon', 'Hans Peter Graf', 'W. R. Gardner', 'Donnie Henderson', 'R. E. Howard', 'W. Hubbard', 'L. D. Jackel', 'Henry S. Baird']"
1070,1995,"A Bound on the Error of Cross Validation Using the Approximation and Estimation Rates, with Consequences for the Training-Test Split",,['Michael J. Kearns']
1071,1995,A Model of Spatial Representations in Parietal Cortex Explains Hemineglect,,"['Terrence J. Sejnowski', 'Alexandre Pouget']"
1072,1995,Dynamics of On-Line Gradient Descent Learning for Multilayer Neural Networks,,"['Sara A. Solla', 'David Saad']"
1073,1995,Improving Elevator Performance Using Reinforcement Learning,,"['Andrew G. Barto', 'Robert H. Crites']"
1074,1995,Visual gesture-based robot guidance with a modular neural system,,"['Helge Ritter', 'Enno Littmann', 'Andrea Drees']"
1075,1995,Improving Committee Diagnosis with Resampling Techniques,,"['Paul W. Munro', 'Bambang Parmanto', 'Howard R. Doyle']"
1076,1995,Learning Sparse Perceptrons,,"['Mark Craven', 'Jeffrey C. Jackson']"
1077,1995,A Neural Network Autoassociator for Induction Motor Failure Prediction,,"['Stephen Jose Hanson', 'Thomas Petsche', 'Christian Darken', 'Gary M. Kuhn', 'Angelo Marcantonio', 'N. Iwan Santoso']"
1078,1995,Modeling Interactions of the Rat's Place and Head Direction Systems,,"['David S. Touretzky', 'A. David Redish']"
1079,1995,Active Gesture Recognition using Learned Visual Attention,,"['Trevor Darrell', 'Alex Pentland']"
108,1988,Neural Networks for Model Matching and Perceptual Organization,,"['Eric Mjolsness', 'Gene Gindi', 'P. Anandan']"
1080,1995,Symplectic Nonlinear Component Analysis,,['Lucas C. Parra']
1081,1995,"Using the Future to ""Sort Out"" the Present: Rankprop and Multitask Learning for Medical Risk Evaluation",,"['Shumeet Baluja', 'Rich Caruana', 'Tom Mitchell']"
1082,1995,Prediction of Beta Sheets in Proteins,,"['Anders Krogh', 'Soren Kamaric Riis']"
1083,1995,Unsupervised Pixel-prediction,,['William R. Softky']
1084,1995,High-Speed Airborne Particle Monitoring Using Artificial Neural Networks,,"['Alistair Ferguson', 'Theo Sabisch', 'Paul Kaye', 'Laurence C. Dixon', 'Hamid Bolouri']"
1085,1995,High-Performance Job-Shop Scheduling With A Time-Delay TD(?) Network,,"['Thomas G. Dietterich', 'Wei Zhang']"
1086,1995,Examples of learning curves from a modified VC-formalism,,"['Robert C. Williamson', 'Peter L. Bartlett', 'Adam Kowalczyk', 'Jacek Szymanski']"
1087,1995,Using Feedforward Neural Networks to Monitor Alertness from Changes in EEG Correlation and Coherence,,"['Terrence J. Sejnowski', 'Scott Makeig', 'Tzyy-Ping Jung']"
1088,1995,Softassign versus Softmax: Benchmarks in Combinatorial Optimization,,"['Steven Gold', 'Anand Rangarajan']"
1089,1995,Beating a Defender in Robotic Soccer: Memory-Based Learning of a Continuous Function,,"['Peter Stone', 'Manuela M. Veloso']"
109,1988,Applications of Error Back-Propagation to Phonetic Classification,,"['Hong C. Leung', 'Victor W. Zue']"
1090,1995,Absence of Cycles in Symmetric Neural Networks,,"['Fernanda Botelho', 'Xin Wang', 'Max H. Garzon', 'Arun K. Jagota']"
1091,1995,Independent Component Analysis of Electroencephalographic Data,,"['Terrence J. Sejnowski', 'Anthony J. Bell', 'Scott Makeig', 'Tzyy-Ping Jung']"
1092,1995,Clustering data through an analogy to the Potts model,,"['Eytan Domany', 'Marcelo Blatt', 'Shai Wiseman']"
1094,1995,Plasticity of Center-Surround Opponent Receptive Fields in Real and Artificial Neural Systems of Vision,,"['S. Yasui', 'T. Furukawa', 'M. Yamada', 'T. Saito']"
1095,1995,Worst-case Loss Bounds for Single Neurons,,"['David P. Helmbold', 'Jyrki Kivinen', 'Manfred K. Warmuth']"
1096,1995,Predictive Q-Routing: A Memory-based Reinforcement Learning Approach to Adaptive Traffic Control,,"['Samuel P. M. Choi', 'Dit-Yan Yeung']"
1097,1995,Using Unlabeled Data for Supervised Learning,,['Geoffrey G. Towell']
1098,1995,Discovering Structure in Continuous Variables Using Bayesian Networks,,"['Volker Tresp', 'Reimar Hofmann']"
1099,1995,Adaptive Mixture of Probabilistic Transducers,,['Yoram Singer']
11,1987,Microelectronic Implementations of Connectionist Neural Networks,,"['John S. Denker', 'Stuart Mackie', 'Hans Peter Graf', 'Daniel B. Schwartz']"
110,1988,Adaptive Neural Networks Using MOS Charge Storage,,"['Daniel B. Schwartz', 'R. E. Howard', 'Wayne E. Hubbard']"
1100,1995,Tempering Backpropagation Networks: Not All Weights are Created Equal,,"['Terrence J. Sejnowski', 'Nicol N. Schraudolph']"
1101,1995,Finite State Automata that Recurrent Cascade-Correlation Cannot Represent,,['Stefan C. Kremer']
1102,1995,Hierarchical Recurrent Neural Networks for Long-Term Dependencies,,"['Yoshua Bengio', 'Salah El Hihi']"
1103,1995,Optimizing Cortical Mappings,,"['Terrence J. Sejnowski', 'Geoffrey J. Goodhill', 'Steven Finch']"
1104,1995,KODAK lMAGELINK? OCR Alphanumeric Handprint Module,,"['Alexander Shustorovich', 'Christopher W. Thrasher']"
1105,1995,Cholinergic suppression of transmission may allow combined associative memory function and self-organization in the neocortex,,"['Michael E. Hasselmo', 'Milos Cekic']"
1106,1995,Handwritten Word Recognition using Contextual Hybrid Radial Basis Function Network/Hidden Markov Models,,"['Bernard Lemari?', 'Michel Gilloux', 'Manuel Leroux']"
1107,1995,Human Reading and the Curse of Dimensionality,,['Gale Martin']
1108,1995,Sample Complexity for Learning Recurrent Perceptron Mappings,,"['Eduardo D. Sontag', 'Bhaskar DasGupta']"
1109,1995,Generalization in Reinforcement Learning: Successful Examples Using Sparse Coarse Coding,,['Richard S. Sutton']
111,1988,Dynamics of Analog Neural Networks with Time Delay,,"['Charles M. Marcus', 'R. M. Westervelt']"
1111,1995,Fast Learning by Bounding Likelihoods in Sigmoid Type Belief Networks,,"['Michael I. Jordan', 'Tommi Jaakkola', 'Lawrence K. Saul']"
1112,1995,Learning Model Bias,,['Jonathan Baxter']
1113,1995,Generalized Learning Vector Quantization,,"['Atsushi Sato', 'Keiji Yamada']"
1114,1995,Stock Selection via Nonlinear Multi-Factor Models,,['Asriel E. Levin']
1115,1995,A New Learning Algorithm for Blind Signal Separation,,"['Shun-ichi Amari', 'Howard Hua Yang', 'Andrzej Cichocki']"
1116,1995,Classifying Facial Action,,"['Terrence J. Sejnowski', 'Paul A. Viola', 'Jan Larsen', 'Marian Stewart Bartlett', 'Beatrice A. Golomb', 'Joseph C. Hager', 'Paul Ekman']"
1117,1995,Parallel Optimization of Motion Controllers via Policy Iteration,,"['Jefferson A. Coelho Jr.', 'R. Sitaraman', 'Roderic A. Grupen']"
1118,1995,A Framework for Non-rigid Matching and Correspondence,,"['Steven Gold', 'Anand Rangarajan', 'Suguna Pappu']"
1119,1995,A Smoothing Regularizer for Recurrent Neural Networks,,"['John E. Moody', 'Lizhong Wu']"
112,1988,Cricket Wind Detection,,['John P. Miller']
1120,1995,Optimization Principles for the Neural Code,,['Michael DeWeese']
1121,1995,Optimal Asset Allocation using Adaptive Dynamic Programming,,['Ralph Neuneier']
1122,1995,Recursive Estimation of Dynamic Modular RBF Networks,,"['Visakan Kadirkamanathan', 'Maha Kadirkamanathan']"
1123,1995,Silicon Models for Auditory Scene Analysis,,"['John Lazzaro', 'John Wawrzynek']"
1124,1995,Memory-based Stochastic Optimization,,"['Andrew W. Moore', 'Jeff G. Schneider']"
1125,1995,Parallel analog VLSI architectures for computation of heading direction and time-to-contact,,"['Christof Koch', 'Giacomo Indiveri', 'J?rg Kramer']"
1126,1995,Recurrent Neural Networks for Missing or Asynchronous Data,,"['Yoshua Bengio', 'Francois Gingras']"
1127,1995,A Realizable Learning Task which Exhibits Overfitting,,['Siegfried B?s']
1128,1995,Modeling Saccadic Targeting in Visual Search,,"['Dana H. Ballard', 'Rajesh P. N. Rao', 'Gregory J. Zelinsky', 'Mary M. Hayhoe']"
1129,1995,Simulation of a Thalamocortical Circuit for Computing Directional Heading in the Rat,,['Hugh T. Blair']
113,1988,Use of Multi-Layered Networks for Coding Speech with Phonetic Features,,"['Yoshua Bengio', 'R?gis Cardin', 'Renato de Mori', 'Piero Cosi']"
1130,1995,Some results on convergent unlearning algorithm,,"['Serguei A. Semenov', 'Irina B. Shuvalova']"
1131,1995,Discriminant Adaptive Nearest Neighbor Classification and Regression,,"['Trevor Hastie', 'Robert Tibshirani']"
1132,1995,EM Optimization of Latent-Variable Density Models,,"['Christopher K. I. Williams', 'Christopher M. Bishop', 'Markus Svens?n']"
1133,1995,Stable Fitted Reinforcement Learning,,['Geoffrey J. Gordon']
1134,1995,Competence Acquisition in an Autonomous Mobile Robot using Hardware Neural Techniques,,"['Alan F. Murray', 'Geoffrey B. Jackson']"
1135,1995,Information through a Spiking Neuron,,"['Anthony M. Zador', 'Charles F. Stevens']"
1136,1995,The Capacity of a Bump,,['Gary William Flake']
1138,1995,A Dynamical Systems Approach for a Learnable Autonomous Robot,,"['Naohiro Fukumura', 'Jun Tani']"
1139,1995,Rapid Quality Estimation of Neural Network Input Representations,,"['Jude W. Shavlik', 'Kevin J. Cherkauer']"
114,1988,Implications of Recursive Distributed Representations,,['Jordan B. Pollack']
1140,1995,Active Learning in Multilayer Perceptrons,,['Kenji Fukumizu']
1141,1995,Investment Learning with Hierarchical PSOMs,,"['Helge Ritter', 'J?rg A. Walter']"
1142,1995,Explorations with the Dynamic Wave Model,,"['Jeffrey L. Elman', 'Thomas P. Rebotier']"
1143,1995,Improving Policies without Measuring Merits,,"['Peter Dayan', 'Satinder P. Singh']"
1144,1995,Factorial Hidden Markov Models,,"['Michael I. Jordan', 'Zoubin Ghahramani']"
1145,1995,A Predictive Switching Model of Cerebellar Movement Control,,"['James C. Houk', 'Andrew G. Barto']"
1146,1995,The Role of Activity in Synaptic Competition at the Neuromuscular Junction,,"['Samuel R. H. Joseph', 'David J. Willshaw']"
1147,1995,Geometry of Early Stopping in Linear Networks,,['Robert H. Dodier']
1148,1995,Strong Unimodality and Exact Learning of Constant Depth ?-Perceptron Networks,,"['Mario Marchand', 'Saeed Hadjifaradji']"
1149,1995,Laterally Interconnected Self-Organizing Maps in Hand-Written Digit Recognition,,"['Joseph Sirosh', 'Risto Miikkulainen', 'Yoonsuck Choe']"
115,1988,Heterogeneous Neural Networks for Adaptive Behavior in Dynamic Environments,,"['Randall D. Beer', 'Hillel J. Chiel', 'Leon S. Sterling']"
1150,1995,Primitive Manipulation Learning with Connectionism,,['Yoky Matsuoka']
1151,1995,Learning long-term dependencies is not as difficult with NARX networks,,"['C. Lee Giles', 'Bill G. Horne', 'Tsungnan Lin', 'Peter Ti?o']"
1152,1995,Extracting Tree-Structured Representations of Trained Networks,,"['Jude W. Shavlik', 'Mark Craven']"
1153,1995,Does the Wake-sleep Algorithm Produce Good Density Estimators?,,"['Geoffrey E. Hinton', 'Peter Dayan', 'Brendan J. Frey']"
1154,1995,"Control of Selective Visual Attention: Modeling the ""Where"" Pathway",,"['Christof Koch', 'Ernst Niebur']"
1155,1995,Exploiting Tractable Substructures in Intractable Networks,,"['Michael I. Jordan', 'Lawrence K. Saul']"
1156,1995,Adaptive Back-Propagation in On-Line Learning of Multilayer Networks,,"['David Saad', 'Ansgar H. L. West']"
1157,1995,Temporal coding in the sub-millisecond range: Model of barn owl auditory pathway,,"['Wulfram Gerstner', 'J. Leo van Hemmen', 'Richard Kempter', 'Hermann Wagner']"
1158,1995,On the Computational Power of Noisy Spiking Neurons,,['Wolfgang Maass']
1159,1995,A Novel Channel Selection System in Cochlear Implants Using Artificial Neural Network,,"['Marwan A. Jabri', 'Raymond J. Wang']"
116,1988,Convergence and Pattern-Stabilization in the Boltzmann Machine,,"['Moshe Kam', 'Roger Cheng']"
1160,1995,Harmony Networks Do Not Work,,['Ren? Gourley']
1161,1995,An Information-theoretic Learning Algorithm for Neural Network Classification,,"['Allen Gersho', 'David J. Miller', 'Ajit V. Rao', 'Kenneth Rose']"
1162,1995,Experiments with Neural Networks for Real Time Implementation of Control,,"['Adam Kowalczyk', 'Herman L. Ferr?', 'Peter K. Campbell', 'Michael Dale']"
1163,1995,Generalisation of A Class of Continuous Neural Networks,,"['John Shawe-Taylor', 'Jieyu Zhao']"
1164,1995,Learning to Predict Visibility and Invisibility from Occlusion Events,,"['Jonathan A. Marshall', 'Richard K. Alley', 'Robert S. Hubbard']"
1165,1995,Constructive Algorithms for Hierarchical Mixtures of Experts,,"['Steve R. Waterhouse', 'Anthony J. Robinson']"
1166,1995,Model Matching and SFMD Computation,,"['Steven Rehfuss', 'Dan W. Hammerstrom']"
1167,1995,Bayesian Methods for Mixtures of Experts,,"['Steve R. Waterhouse', 'Anthony J. Robinson', 'David MacKay']"
1168,1995,Human Face Detection in Visual Scenes,,"['Shumeet Baluja', 'Henry A. Rowley', 'Takeo Kanade']"
1169,1995,Temporal Difference Learning in Continuous Time and Space,,['Kenji Doya']
1170,1995,A Neural Network Classifier for the I100 OCR Chip,,"['John C. Platt', 'Timothy P. Allen']"
1171,1995,Using Pairs of Data-Points to Define Splits for Decision Trees,,"['Geoffrey E. Hinton', 'Michael Revow']"
1172,1995,Stochastic Hillclimbing as a Baseline Method for Evaluating Genetic Algorithms,,"['Ari Juels', 'Martin Wattenberg']"
1173,1995,Improved Silicon Cochlea using Compatible Lateral Bipolar Transistors,,"['Andr? van Schaik', 'Eric Fragni?re', 'Eric A. Vittoz']"
1174,1995,"Pruning with generalization based weight saliencies: ?OBD, ?OBS",,"['Morten With Pedersen', 'Lars Kai Hansen', 'Jan Larsen']"
